2026-06-19 13:13:51.175 [main] INFO  e.h.inspection.common.RedisProvider - Redis pool created: localhost:6379/9
2026-06-19 13:13:51.318 [main] INFO  e.h.i.controller.ControllerMain - Controller instance lock acquired: c7f5efbb-5df3-40fd-a4a6-db6c520d1ae1
2026-06-19 13:13:51.365 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 31ms
2026-06-19 13:13:52.699 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1330ms
2026-06-19 13:13:52.708 [main] INFO  e.h.i.controller.ControllerMain - Controller listening on controller.start
2026-06-19 13:13:53.854 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 62ms
2026-06-19 13:13:55.348 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1487ms
2026-06-19 13:13:55.353 [main] INFO  e.h.i.navigator.NavigatorMain - NavigatorMain starting 8 workers
2026-06-19 13:13:55.355 [main] INFO  e.h.i.navigator.NavigatorMain - NavigatorMain: all 8 workers started in 1580ms
2026-06-19 13:13:55.736 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 73ms
2026-06-19 13:13:57.277 [navigator-4] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1917ms
2026-06-19 13:13:57.279 [navigator-4] INFO  e.h.inspection.common.RedisProvider - Redis pool created: localhost:6379/9
2026-06-19 13:13:57.289 [navigator-2] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1931ms
2026-06-19 13:13:57.298 [navigator-6] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1938ms
2026-06-19 13:13:57.303 [navigator-1] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1946ms
2026-06-19 13:13:57.313 [navigator-5] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1952ms
2026-06-19 13:13:57.320 [navigator-3] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1960ms
2026-06-19 13:13:57.323 [navigator-7] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1961ms
2026-06-19 13:13:57.324 [navigator-8] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1962ms
2026-06-19 13:13:57.448 [navigator-6] INFO  e.h.i.navigator.NavigationWorker - Navigator worker 6 listening on navigator.no6 (startup=2092ms)
